"PointID"	"x"	"y"	"Conservative_1"	"Conservative_2"	"Conservative_3"	"Conservative_4"	"Conservative_5"	"Conservative_6"	"Pressure"	"Temperature"	"C<sub>p</sub>"	"Mach"	"<greek>m</greek>"	"C<sub>f</sub>_x"	"C<sub>f</sub>_y"	"h"	"y<sup>+</sup>"	"<greek>m</greek><sub>t</sub>"
15	-5.030330250000000e-02	0.000000000000000e+00	1.225900746138155e+00	8.352199132087024e+01	5.528588575079292e-02	2.564465838092286e+05	2.747226025592915e-01	2.610140629259670e+03	1.014404089428028e+05	2.882610918404192e+02	4.950251826358704e-02	2.001722022099719e-01	1.789833582129137e-05	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.290285434032492e-04	
16	-5.224264200000000e-02	0.000000000000000e+00	1.225911653002364e+00	8.352322903977536e+01	5.586820426500095e-02	2.564495968246066e+05	2.766903154160152e-01	2.628306019711402e+03	1.014415895669976e+05	2.882618821236327e+02	4.991875863687960e-02	2.001731141655715e-01	1.789837394448564e-05	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.290557033351597e-04	
17	-5.418198150000000e-02	0.000000000000000e+00	1.225921933062305e+00	8.352472332290040e+01	5.648663998540969e-02	2.564524671792425e+05	2.786866061939504e-01	2.646740361271451e+03	1.014427055380580e+05	2.882626360589405e+02	5.031220492808763e-02	2.001747560135460e-01	1.789841031421322e-05	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.290825605697593e-04	
18	-5.612132100000000e-02	0.000000000000000e+00	1.225933086808220e+00	8.352650647543950e+01	5.723363584271814e-02	2.564556061250478e+05	2.807120762431149e-01	2.665449344067772e+03	1.014439218669757e+05	2.882634697221811e+02	5.074103334355236e-02	2.001769200000811e-01	1.789845052995122e-05	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.291092711670613e-04	
19	-5.806066050000000e-02	0.000000000000000e+00	1.225943698287756e+00	8.352909013541415e+01	5.853603421452355e-02	2.564588484629489e+05	2.827658672710813e-01	2.684431707655243e+03	1.014451572075689e+05	2.882644849001450e+02	5.117656450745570e-02	2.001810288495490e-01	1.789849950184549e-05	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.291353518494548e-04	
20	-6.000000000000000e-02	0.000000000000000e+00	1.225972801117581e+00	8.353100650895171e+01	6.125669525968539e-02	2.564667257275035e+05	2.848416751523982e-01	2.703647296826990e+03	1.014482818314012e+05	2.882665205725905e+02	5.227818058144004e-02	2.001801672578359e-01	1.789859770185147e-05	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.291618721063398e-04	
21	-2.121321000000000e-02	1.189339825000000e-03	1.225210147967276e+00	8.344014619809293e+01	-2.846797081172018e-03	2.562534355610987e+05	2.595622364785757e-01	2.498413520120173e+03	1.013647467984132e+05	2.882084434716041e+02	2.282710422126958e-02	2.001069977547966e-01	1.789579595531108e-05	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.272880904649423e-04	
22	-2.315254950000000e-02	1.189339825000000e-03	1.225318159617525e+00	8.344108241356487e+01	8.149968226081775e-03	2.562810693676612e+05	2.608848601450796e-01	2.510459959089403e+03	1.013758743329868e+05	2.882146738485566e+02	2.675022316555213e-02	2.000894415123430e-01	1.789609653319144e-05	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.273340192316625e-04	
23	-2.509188900000000e-02	1.189339825000000e-03	1.225389996973600e+00	8.344053895721272e+01	1.023977974257556e-02	2.562998524335510e+05	2.625764866999006e-01	2.525475820112035e+03	1.013834681405981e+05	2.882193656884976e+02	2.942749280709767e-02	2.000747803891333e-01	1.789632288393521e-05	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.274051399292013e-04	
24	-2.703122850000000e-02	1.189339825000000e-03	1.225459130753090e+00	8.344428387558783e+01	1.097946488487023e-02	2.563180268527885e+05	2.642799965857176e-01	2.540605717231294e+03	1.013906991721345e+05	2.882236615862060e+02	3.197686226711781e-02	2.000709815637688e-01	1.789653013148936e-05	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.274752444671353e-04	
25	-2.897056800000000e-02	1.189339825000000e-03	1.225520508236970e+00	8.344772599388457e+01	1.123671633802071e-02	2.563342934232038e+05	2.659951361500433e-01	2.555849425945163e+03	1.013971681153979e+05	2.882276149061603e+02	3.425755020375982e-02	2.000678420716251e-01	1.789672085070798e-05	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.275437007915442e-04	
26	-3.090990750000000e-02	1.189339825000000e-03	1.225578897170573e+00	8.345135596753254e+01	1.135349954715615e-02	2.563497706935866e+05	2.677268856557090e-01	2.571241810078162e+03	1.014033134433151e+05	2.882313508247429e+02	3.642414444898940e-02	2.000657164323613e-01	1.789690108072016e-05	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.276116544103531e-04	
27	-3.284924700000000e-02	1.189339825000000e-03	1.225633366981771e+00	8.345446316028331e+01	1.137569721763768e-02	2.563642088677798e+05	2.694755511644116e-01	2.586785638668405e+03	1.014090537296712e+05	2.882348568073758e+02	3.844793741052519e-02	2.000630571581758e-01	1.789707021702817e-05	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.276790091009079e-04	
28	-3.478858650000000e-02	1.189339825000000e-03	1.225683810610773e+00	8.345702338149701e+01	1.133329522039044e-02	2.563775601248339e+05	2.712421572590514e-01	2.602488757058939e+03	1.014143704049297e+05	2.882381053170744e+02	4.032238222029694e-02	2.000598333738979e-01	1.789722693139309e-05	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.277458432874748e-04	
29	-3.672792600000000e-02	1.189339825000000e-03	1.225729568029728e+00	8.345896330232141e+01	1.124871602284135e-02	2.563896498063069e+05	2.730271011647530e-01	2.618354594679935e+03	1.014191949904452e+05	2.882410570074846e+02	4.202333607571613e-02	2.000559907572902e-01	1.789736932588747e-05	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.278120967497931e-04	
30	-3.866726550000000e-02	1.189339825000000e-03	1.225770220192989e+00	8.346032911379497e+01	1.114481451811652e-02	2.564003684606392e+05	2.748308526497981e-01	2.634387033342290e+03	1.014234820584250e+05	2.882436813806426e+02	4.353478297313916e-02	2.000517190584934e-01	1.789749592946005e-05	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.278777455682454e-04	
31	-4.060660500000000e-02	1.189339825000000e-03	1.225805523001233e+00	8.346120003478367e+01	1.104390786132288e-02	2.564096567310129e+05	2.766538561570484e-01	2.650589694045458e+03	1.014272054817455e+05	2.882459616507530e+02	4.484751154472667e-02	2.000472538335524e-01	1.789760593255188e-05	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.279427840561585e-04	
32	-4.254594450000000e-02	1.189339825000000e-03	1.225835515006976e+00	8.346169313335103e+01	1.096588118811489e-02	2.564175312219418e+05	2.784966183449911e-01	2.666966541310580e+03	1.014303687491910e+05	2.882478987265380e+02	4.596275179486881e-02	2.000428690452327e-01	1.789769937919008e-05	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.280072472970811e-04	
